AAER DATABASE IDENTIFIER,COMPUSTAT IDENTIFIER,ID,CONAME_x,CIK_x,YEARA,FYR,DATE,P_AAER_x,UNDERSTATEMENT,YEAR,CONAME_y,CIK_y,QUARTER,ANNUAL,REASON,EXPLANATION,AUDIT,BRIBES,DISCLOSURE,NODATES,OTHER,REV,REC,COGS,INV,RES,DEBT,MKT_SEC,INC_EXP_SE,ASSET,PAY,LIAB,FIGURE,P_AAER_y,AAER1,AAER2,AAER3,AAER4,AAER5,AAER6,AAER7,AAER8,AAER9,AAER10,AAER11,AAER12,AAER13,AAER14,AAER15,AAER16,AAER17,AAER18,AAER19,AAER20,AAER21,AAER22,AAER23,AAER24,AAER25,AAER26,AAER27,AAER28,AAER29,AAER30,AAER31,AAER32,AAER33,AAER34,AAER35,AAER36,AAER37,AAER38,AAER39,AAER40,AAER41,AAER42,AAER43,AAER44,AAER45,AAER46,AAER47,AAER48,AAER49,TotalAAER
"ABS Industries, Inc.",ABS INDUSTRIES INC,17,"ABS Industries, Inc.",313368.0,1994.0,10.0,10/31/94,1240,0.0,1994.0,"ABS Industries, Inc.",313368.0,1.0,1.0,,premature recording of bill and hold sales,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1240.0,1298.0,1240.0,1197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Advanced Chemical Corporation,ADVANCED CHEMICAL TECHNOLOGY,26,Advanced Chemical Corporation,2463.0,1980.0,12.0,12/31/80,60,0.0,1980.0,Advanced Chemical Corporation,2463.0,1.0,1.0,,Auditor GAAS violation - inflated assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"WorldCom, Inc. (now known as MCI, Inc.)",MCI INC,1338,"WorldCom, Inc. (now known as MCI, Inc.)",723527.0,1999.0,12.0,12/31/99,1977,0.0,1999.0,"WorldCom, Inc. (now known as MCI, Inc.)",723527.0,1.0,1.0,,"Improperly reduced reserves, capitalized costs",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1977.0,2491.0,2467.0,2277.0,2059.0,1977.0,1966.0,1909.0,1834.0,1811.0,1810.0,1785.0,1686.0,1685.0,1684.0,1683.0,1678.0,1665.0,1658.0,1650.0,1642.0,1635.0,1586.0,1585.0,2809.0,2808.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0
"WorldCom, Inc. (now known as MCI, Inc.)",MCI INC,1338,"WorldCom, Inc. (now known as MCI, Inc.)",723527.0,2000.0,12.0,12/31/00,1977,0.0,2000.0,"WorldCom, Inc. (now known as MCI, Inc.)",723527.0,1.0,1.0,,"Improperly reduced reserves, capitalized costs",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1977.0,2491.0,2467.0,2277.0,2059.0,1977.0,1966.0,1909.0,1834.0,1811.0,1810.0,1785.0,1686.0,1685.0,1684.0,1683.0,1678.0,1665.0,1658.0,1650.0,1642.0,1635.0,1586.0,1585.0,2809.0,2808.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0
"WorldCom, Inc. (now known as MCI, Inc.)",MCI INC,1338,"WorldCom, Inc. (now known as MCI, Inc.)",723527.0,2001.0,12.0,12/31/01,1977,0.0,2001.0,"WorldCom, Inc. (now known as MCI, Inc.)",723527.0,1.0,1.0,,"Improperly reduced reserves, capitalized costs",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1977.0,2491.0,2467.0,2277.0,2059.0,1977.0,1966.0,1909.0,1834.0,1811.0,1810.0,1785.0,1686.0,1685.0,1684.0,1683.0,1678.0,1665.0,1658.0,1650.0,1642.0,1635.0,1586.0,1585.0,2809.0,2808.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471.0,1999.0,1.0,1/31/00,2126,0.0,2000.0,Aerosonic Corporation,109471.0,1.0,1.0,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2126.0,2126.0,2392.0,2375.0,3013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471.0,2000.0,1.0,1/31/01,2126,0.0,2001.0,Aerosonic Corporation,109471.0,1.0,1.0,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2126.0,2126.0,2392.0,2375.0,3013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471.0,2001.0,1.0,1/31/02,2126,0.0,2002.0,Aerosonic Corporation,109471.0,1.0,1.0,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2126.0,2126.0,2392.0,2375.0,3013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471.0,2002.0,1.0,1/31/03,2126,0.0,2003.0,Aerosonic Corporation,109471.0,1.0,1.0,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2126.0,2126.0,2392.0,2375.0,3013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Aetna Life and Casualty Company,AETNA INC,33,Aetna Life and Casualty Company,1122304.0,1982.0,12.0,12/31/82,10,0.0,1982.0,Aetna Life and Casualty Company,1122304.0,1.0,1.0,,recognized anticipated future tax benefits of net operating loss carryforwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
