AAER DATABASE IDENTIFIER,COMPUSTAT IDENTIFIER,ID,CONAME_x,CIK_x,YEARA,FYR,DATE,P_AAER_x,UNDERSTATEMENT,YEAR,CONAME_y,CIK_y,QUARTER,ANNUAL,REASON,EXPLANATION,AUDIT,BRIBES,DISCLOSURE,NODATES,OTHER,REV,REC,COGS,INV,RES,DEBT,MKT_SEC,INC_EXP_SE,ASSET,PAY,LIAB,FIGURE,P_AAER_y,AAER1,AAER2,AAER3,AAER4,AAER5,AAER6,AAER7,AAER8,AAER9,AAER10,AAER11,AAER12,AAER13,AAER14,AAER15,AAER16,AAER17,AAER18,AAER19,AAER20,AAER21,AAER22,AAER23,AAER24,AAER25,AAER26,AAER27,AAER28,AAER29,AAER30,AAER31,AAER32,AAER33,AAER34,AAER35,AAER36,AAER37,AAER38,AAER39,AAER40,AAER41,AAER42,AAER43,AAER44,AAER45,AAER46,AAER47,AAER48,AAER49,TotalAAER
"ABS Industries, Inc.",ABS INDUSTRIES INC,17,"ABS Industries, Inc.",313368,1994,10,10/31/94,1240,0,1994,"ABS Industries, Inc.",313368,1,1,,premature recording of bill and hold sales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1240,1298,1240,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Advanced Chemical Corporation,ADVANCED CHEMICAL TECHNOLOGY,26,Advanced Chemical Corporation,2463,1980,12,12/31/80,60,0,1980,Advanced Chemical Corporation,2463,1,1,,Auditor GAAS violation - inflated assets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"WorldCom, Inc. (now known as MCI, Inc.)",MCI INC,1338,"WorldCom, Inc. (now known as MCI, Inc.)",723527,1999,12,12/31/99,1977,0,1999,"WorldCom, Inc. (now known as MCI, Inc.)",723527,1,1,,"Improperly reduced reserves, capitalized costs",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1977,2491,2467,2277,2059,1977,1966,1909,1834,1811,1810,1785,1686,1685,1684,1683,1678,1665,1658,1650,1642,1635,1586,1585,2809,2808,,,,,,,,,,,,,,,,,,,,,,,,,25
"WorldCom, Inc. (now known as MCI, Inc.)",MCI INC,1338,"WorldCom, Inc. (now known as MCI, Inc.)",723527,2000,12,12/31/00,1977,0,2000,"WorldCom, Inc. (now known as MCI, Inc.)",723527,1,1,,"Improperly reduced reserves, capitalized costs",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1977,2491,2467,2277,2059,1977,1966,1909,1834,1811,1810,1785,1686,1685,1684,1683,1678,1665,1658,1650,1642,1635,1586,1585,2809,2808,,,,,,,,,,,,,,,,,,,,,,,,,25
"WorldCom, Inc. (now known as MCI, Inc.)",MCI INC,1338,"WorldCom, Inc. (now known as MCI, Inc.)",723527,2001,12,12/31/01,1977,0,2001,"WorldCom, Inc. (now known as MCI, Inc.)",723527,1,1,,"Improperly reduced reserves, capitalized costs",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1977,2491,2467,2277,2059,1977,1966,1909,1834,1811,1810,1785,1686,1685,1684,1683,1678,1665,1658,1650,1642,1635,1586,1585,2809,2808,,,,,,,,,,,,,,,,,,,,,,,,,25
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471,1999,1,1/31/00,2126,0,2000,Aerosonic Corporation,109471,1,1,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2126,2126,2392,2375,3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471,2000,1,1/31/01,2126,0,2001,Aerosonic Corporation,109471,1,1,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2126,2126,2392,2375,3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471,2001,1,1/31/02,2126,0,2002,Aerosonic Corporation,109471,1,1,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2126,2126,2392,2375,3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aerosonic Corporation,AEROSONIC CORP,32,Aerosonic Corporation,109471,2002,1,1/31/03,2126,0,2003,Aerosonic Corporation,109471,1,1,,"inflated earnings by falsfying inventory records, not writing down inventory and recording fictitious and premature sales.",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2126,2126,2392,2375,3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Aetna Life and Casualty Company,AETNA INC,33,Aetna Life and Casualty Company,1122304,1982,12,12/31/82,10,0,1982,Aetna Life and Casualty Company,1122304,1,1,,recognized anticipated future tax benefits of net operating loss carryforwards,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Alexander & Alexander Services Inc.,ALEXANDER & ALEXANDER,43,Alexander & Alexander Services Inc.,3449,1994,12,12/31/94,1331,0,1994,Alexander & Alexander Services Inc.,3449,1,1,,overstated income by investing in high-risk derivative securities an concealing losses and and gains on the books,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1331,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Alexander & Alexander Services Inc.,ALEXANDER & ALEXANDER,43,Alexander & Alexander Services Inc.,3449,1995,12,12/31/95,1331,0,1995,Alexander & Alexander Services Inc.,3449,1,1,,overstated income by investing in high-risk derivative securities an concealing losses and and gains on the books,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1331,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Sunbeam Corporation,SUNBEAM CORPORATION,1130,Sunbeam Corporation,3662,1996,12,12/31/96,1393,1,1996,Sunbeam Corporation,3662,1,1,,"Created and used improper restructuring reserves, revenue recognition , ""bill and hold"", ""channel stuffing"".",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1393,1707,1706,1705,1663,1623,1395,1394,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
